collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
South Mountain Community College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,4718,28,20.4,30571,25969,29,30.5,2737,,,3271,24,,,9.4,50,16,33,50.5,71,59.4,58,26.3,30,,,,,,,,,,,,,,,,,,20,16.8
Arizona Christian University,Phoenix,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,635,16.3,21.7,123061,35493,80,71.5,526,1045,45,18596,74,3657,12,28.1,25,47.4,35,32.8,40,68.1,30,20.5,8,,,,,,,,,,,,,,,,,,4,47.8
Universal Technical Institute,Avondale,Arizona,2-year,Private for-profit,Associates--Private For-profit,2337,38.3,36.8,25952,21312,57,100,3860,,,3808,24,,,25.1,29,65,61,48.1,17,70.7,58,100,94,,,,,,,,,,,,,,,,,,12,
Western International University,Tempe,Arizona,4-year,Private for-profit,Masters Colleges and Universities--medium programs,1497,30,32.8,40401,25661,44,100,985,,,5123,75,,,12.6,30,18,28,38.6,5,17.9,1,1.8,0,,,,,,,,,,,,,,,,,,23,32.3
Yavapai College,Prescott,Arizona,2-year,Public,Associates--Public Rural-serving Large,8197,19,20.4,35443,25969,41,27.1,4258,,,5727,89,2040,78,11.8,61,16.7,35,31.4,24,62.6,72,52.6,87,,,,,,,,,,,,,,,,,,20,22.3
University of Arkansas at Little Rock,Little Rock,Arkansas,4-year,Public,Doctoral/Research Universities,9970,18.9,19.6,53575,47347,40,55.7,7814,1077,68,6619,62,7674,70,7,6,21.4,6,40.3,57,69.7,36,60.9,45,,,,,,,,,,,,,,,,,,10,41
Arkansas Baptist College,Little Rock,Arkansas,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,1027,10.4,19.4,85798,82509,56,84.4,877,,,9942,28,,,4.5,2,8.6,1,71.1,92,39.5,2,63.6,65,,,,,,,,,,,,,,,,,,12,100
Lyon College,Batesville,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,592,18.6,19.4,127686,82509,82,94.9,559,1142,74,16486,65,79323,84,43.4,51,49.7,40,46.2,69,69.8,34,70.7,74,,,,,,,,,,,,,,,,,,12,68.9
University of Arkansas at Fayetteville,Fayetteville,Arkansas,4-year,Public,Research Universities--very high research activity,21009,17.4,19.6,67345,47347,65,88.4,19445,1156,86,7137,72,36209,95,36.7,78,60.1,77,24.3,13,82.1,75,86.2,93,2010,35.7,3,34.9,10.6,58.8,9.2,4.7,7.5,50.9,6.6,15,6.5,59.1,9.8,3.5,5.3,10,69.1
University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,4-year,Public,Baccalaureate Colleges--Diverse Fields,2521,14.5,19.6,84603,47347,83,91.2,2494,842,2,7549,78,681,7,5.6,4,25.8,10,69.9,97,56.2,7,81.1,86,,,,,,,,,,,,,,,,,,10,81.2
Arkansas State University at Beebe,Beebe,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,4380,26.6,23.6,18363,25729,7,50.7,3387,,,4123,57,43,6,24,89,35,89,31.6,24,54.9,37,49.2,84,,,,,,,,,,,,,,,,,,22,61.5
Arkansas State University,Jonesboro,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,10098,23.6,19.6,27456,47347,7,75.7,9242,1088,72,7744,80,3440,43,18.7,40,35.7,25,46.2,74,73.1,47,73.9,74,2011,18.5,4.1,29.8,11.7,36.2,6.8,7.4,8.8,45,9.9,14.7,7.1,53,11.7,4.5,4.7,10,65.1
Arkansas Tech University,Russellville,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,10482,21,19.6,27356,47347,7,67.4,8398,1008,41,6455,59,2252,30,20.6,45,40.7,35,45.6,72,69.4,35,61.6,47,,,,,,,,,,,,,,,,,,10,70.7
University of Arkansas at Monticello,Monticello,Arkansas,4-year,Public,Masters Colleges and Universities--smaller programs,3706,21,19.6,39837,47347,14,66.8,3031,,,6197,54,824,9,10.3,16,22,7,64.7,96,42.4,1,72.7,72,2010,11.1,1.4,20.5,16.1,29.3,6.4,10.9,11.4,10.8,5.7,11.4,13.1,13.1,8,0,0,10,69.2
Black River Technical College,Pocahontas,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,2248,21.2,23.6,16384,25729,5,62.8,1906,,,4429,66,,,8.4,45,14.4,27,64.1,92,59.1,56,51.7,86,,,,,,,,,,,,,,,,,,22,61
University of Central Arkansas,Conway,Arkansas,4-year,Public,Masters Colleges and Universities--larger programs,9754,23.8,19.6,50994,47347,33,84.9,8908,1070,65,7764,81,2317,30,20.5,45,41.5,37,39.4,54,69.8,36,73.7,73,,,,,,,,,,,,,,,,,,10,72.9
Central Baptist College,Conway,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,827,16.1,19.4,53668,82509,25,78.6,742,974,21,7195,17,3390,11,18.9,12,37.8,17,45.3,68,67.3,28,40.3,32,,,,,,,,,,,,,,,,,,12,54.4
Cossatot Community College of the University of Arkansas,De Queen,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,1597,20.4,23.6,33398,25729,36,40.8,1011,,,4695,73,76,8,17.8,79,22.2,57,38.2,42,59,56,45.2,77,,,,,,,,,,,,,,,,,,22,30.2
Crowley's Ridge College,Paragould,Arkansas,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates,200,15.3,19.4,68262,82509,40,71.5,147,,,7711,19,8865,29,,,,,44.3,65,66.1,25,45.8,41,,,,,,,,,,,,,,,,,,12,86.6
East Arkansas Community College,Forrest City,Arkansas,2-year,Public,Associates--Public Rural-serving Small,1386,33.1,23.6,29680,25729,27,44,919,,,3845,45,304,30,7.7,39,12,16,41.6,49,45.2,8,32,48,,,,,,,,,,,,,,,,,,22,48.9
National Park Community College,Hot Springs,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,3246,22.9,23.6,38594,25729,48,47,2237,,,3905,48,385,35,11.4,59,19.7,48,60.3,88,48.7,14,48.6,83,,,,,,,,,,,,,,,,,,22,50.4
University of Arkansas Community College at Batesville,Batesville,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,1353,26.1,23.6,21678,25729,10,57.9,1051,,,5976,91,,,10.3,54,25.8,70,63.3,92,47.7,12,43.8,75,,,,,,,,,,,,,,,,,,22,57.4
Harding University,Searcy,Arkansas,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,4428,19.8,19.4,70304,82509,42,92.7,4300,1139,74,9188,25,18798,51,40.4,46,62.2,64,26.3,26,82.3,71,69.6,73,,,,,,,,,,,,,,,,,,12,80.7
Henderson State University,Arkadelphia,Arkansas,4-year,Public,Masters Colleges and Universities--medium programs,3199,14.9,19.6,48972,47347,28,90,3197,1011,45,7599,79,4174,50,13.6,24,28.6,13,53,86,57.2,8,67.8,60,,,,,,,,,,,,,,,,,,10,73.4
Hendrix College,Conway,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1431,20.8,19.4,125977,82509,81,99.4,1438,1267,89,26484,92,118930,89,63.3,80,69.6,77,17.9,10,87.8,83,66.7,70,,,,,,,,,,,,,,,,,,12,96.1
John Brown University,Siloam Springs,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,2080,27.7,19.4,56822,82509,28,75.5,1752,1144,75,13360,47,38304,71,55.4,71,65.4,71,31.8,37,82.4,71,37.4,29,,,,,,,,,,,,,,,,,,12,82.2
Mid-South Community College,West Memphis,Arkansas,2-year,Public,Associates--Public Suburban-serving Single Campus,1793,11.2,23.6,68945,25729,90,39.2,1217,,,4194,58,1763,73,2.5,7,8.1,5,58.2,85,40,3,33.1,51,,,,,,,,,,,,,,,,,,22,30.4
Arkansas Northeastern College,Blytheville,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,1425,23.6,23.6,38626,25729,48,43.4,1149,,,4417,65,3180,87,20.4,85,20.4,51,50.2,70,56.7,46,75.6,97,,,,,,,,,,,,,,,,,,22,30.8
North Arkansas College,Harrison,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,2167,26.5,23.6,25675,25729,18,49.8,1744,,,6544,94,2148,79,12.1,62,23.8,63,61.5,90,50.8,20,46.4,80,,,,,,,,,,,,,,,,,,22,62.1
Ouachita Baptist University,Arkadelphia,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1543,18.9,19.4,97070,82509,66,97.7,1536,1090,62,15553,60,54781,80,48.1,59,60.2,61,27,28,76.3,53,71.4,75,,,,,,,,,,,,,,,,,,12,86.5
Ouachita Technical College,Malvern,Arkansas,2-year,Public,Associates--Public Rural-serving Small,1501,33.4,23.6,13646,25729,3,38.9,923,,,3546,33,,,9.3,49,23.3,61,37,38,48.7,14,34.6,56,,,,,,,,,,,,,,,,,,22,55.6
Ozarka College,Melbourne,Arkansas,2-year,Public,Associates--Public Rural-serving Small,1489,23.2,23.6,15691,25729,4,58.6,1251,,,6773,96,1182,62,13.1,66,22,56,70.9,97,53.8,32,42.4,72,,,,,,,,,,,,,,,,,,22,36.3
University of the Ozarks,Clarksville,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,585,14.9,19.4,234957,82509,96,97.6,598,1057,51,19284,76,154110,92,34.3,36,48.3,37,39.1,55,69.4,33,78.3,82,,,,,,,,,,,,,,,,,,12,73.6
University of Arkansas Community College at Morrilton,Morrilton,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,2149,31.6,23.6,15557,25729,4,59.1,1705,930,71,3444,29,19,3,14.3,70,27.6,75,67.2,94,54.7,35,63.4,94,,,,,,,,,,,,,,,,,,22,53.9
Philander Smith College,Little Rock,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,556,17.4,19.4,108670,82509,73,94.1,624,,,9696,27,15423,46,20.2,14,45,31,72.8,93,54.3,10,56.5,55,,,,,,,,,,,,,,,,,,12,68.2
Phillips Community College of the University of Arkansas,Helena,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,2029,19.7,23.6,52513,25729,77,37.3,1151,,,3898,48,,,14.2,70,24.5,65,39.6,45,55.7,41,67.3,95,,,,,,,,,,,,,,,,,,22,57.6
Southeast Arkansas College,Pine Bluff,Arkansas,2-year,Public,Associates--Public Rural-serving Medium,1601,27.6,23.6,21823,25729,11,53.1,1251,,,4359,64,435,37,12.5,64,12.5,18,58.6,86,45.2,8,39.1,67,,,,,,,,,,,,,,,,,,22,53.1
Pulaski Technical College,North Little Rock,Arkansas,2-year,Public,Associates--Public Urban-serving Single Campus,10527,25,23.6,25032,25729,16,48.1,8396,,,3588,34,160,14,4.9,22,12.6,19,57.4,84,51.5,23,34.1,54,,,,,,,,,,,,,,,,,,22,47.6
University of Arkansas Community College at Hope,Hope,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,1460,32.5,23.6,22178,25729,11,50.1,1054,,,4169,58,2041,78,13.1,66,23.3,61,61.9,90,52.9,28,44,75,,,,,,,,,,,,,,,,,,22,40.8
Rich Mountain Community College,Mena,Arkansas,2-year,Public,Associates--Public Rural-serving Small,957,23.8,23.6,21118,25729,10,42.9,636,,,4811,76,,,11.1,58,22.2,57,38.9,43,60.1,61,30.4,43,,,,,,,,,,,,,,,,,,22,34.5
Williams Baptist College,Walnut Ridge,Arkansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,574,19.3,19.4,52842,82509,23,84.7,516,1001,29,10699,32,20167,54,24.2,19,39.4,21,52.7,80,58.8,14,58,57,,,,,,,,,,,,,,,,,,12,45.1
South Arkansas Community College,El Dorado,Arkansas,2-year,Public,Associates--Public Rural-serving Small,1632,27,23.6,18079,25729,6,43.9,1310,,,3976,51,1019,58,5.2,25,10.4,11,51,73,50.6,20,49.5,84,,,,,,,,,,,,,,,,,,22,46
Southern Arkansas University,Magnolia,Arkansas,4-year,Public,Masters Colleges and Universities--medium programs,2960,18.8,19.6,45186,47347,22,84.4,2681,989,32,8377,85,1061,12,13.5,24,30.4,16,51.5,85,64.3,19,65.6,56,,,,,,,,,,,,,,,,,,10,68.5
Southern Arkansas University Tech,Camden,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,1730,30.5,23.6,19557,25729,9,37.7,1316,,,4568,70,642,46,17.4,78,41.6,94,32.2,26,57.4,48,52.2,87,,,,,,,,,,,,,,,,,,22,48.7
University of Arkansas at Fort Smith,Fort Smith,Arkansas,4-year,Public,Baccalaureate/Associates Colleges,7170,17.1,19.6,49785,47347,30,71.4,6103,1028,50,6161,53,11489,81,9.3,13,24.1,8,50.5,84,62.2,15,54.3,35,,,,,,,,,,,,,,,,,,10,73.5
Academy of Art University,San Francisco,California,4-year,Private for-profit,Schools of art- music- and design,10508,14,23.2,72846,53245,79,54.5,8062,,,6474,92,,,5.3,10,32.7,64,42.4,7,71,75,18.9,51,,,,,,,,,,,,,,,,,,64,52.8
ITT Technical Institute at Rancho Cordova,Rancho Cordova,California,4-year,Private for-profit,Other technology-related schools,510,36.9,23.2,27102,53245,16,75.9,574,,,4314,48,,,0,0,0,0,66.2,42,,,18.2,49,,,,,,,,,,,,,,,,,,64,80.8
College of Alameda,Alameda,California,2-year,Public,Associates--Public Urban-serving Multicampus,5799,7.7,12.8,53507,44144,78,12.3,3071,,,2067,3,,,9.4,50,26.7,72,22,7,62.2,70,36.2,61,,,,,,,,,,,,,,,,,,113,8.3
Allan Hancock College,Santa Maria,California,2-year,Public,Associates--Public Rural-serving Large,10885,20.9,12.8,31050,44144,31,31.2,6639,,,2459,6,2463,82,8.6,47,26.9,73,24.2,10,72,93,26.1,29,,,,,,,,,,,,,,,,,,113,27.9
"American Academy of Dramatic Arts, Los Angeles Campus",Los Angeles,California,2-year,Private not-for-profit,Associates--Private Not-for-profit,258,32.4,34.1,56750,31169,73,100,276,,,7167,79,6196,52,60.4,70,60.4,60,41.6,25,63.3,46,18.6,13,,,,,,,,,,,,,,,,,,4,100
American Career College,Los Angeles,California,2-year,Private for-profit,Associates--Private For-profit,1770,16.1,39.3,57337,23430,91,100,1320,,,4129,40,,,14.3,15,61.2,50,70.6,52,64.1,40,40.4,52,,,,,,,,,,,,,,,,,,63,
American River College,Sacramento,California,2-year,Public,Associates--Public Urban-serving Multicampus,29701,13.8,12.8,17050,44144,6,25.5,20452,,,2396,6,,,7.7,39,26.7,72,28.6,18,68.3,87,38.9,67,,,,,,,,,,,,,,,,,,113,15.3
Antelope Valley College,Lancaster,California,2-year,Public,Associates--Public Suburban-serving Single Campus,14262,14.2,12.8,43550,44144,60,31.6,9206,,,3350,26,279,28,5.5,28,28.6,77,51.1,73,74.3,96,31.6,47,,,,,,,,,,,,,,,,,,113,28.5
Art Center College of Design,Pasadena,California,4-year,Private not-for-profit,Schools of art- music- and design,1767,16.9,22.4,178804,125902,92,84.8,2072,,,11688,37,29713,65,30.7,30,64.4,69,36.9,49,80.4,65,24.9,13,,,,,,,,,,,,,,,,,,74,69.3
Azusa Pacific University,Azusa,California,4-year,Private not-for-profit,Doctoral/Research Universities,6543,24.2,22.4,75475,125902,48,86.9,6038,1098,64,12979,44,6604,22,47.1,58,64.9,70,28.6,30,82.3,71,43.1,37,,,,,,,,,,,,,,,,,,74,59.4
Bakersfield College,Bakersfield,California,2-year,Public,Associates--Public Urban-serving Multicampus,17770,9.2,12.8,47458,44144,68,31.6,10325,,,2947,16,,,5.9,30,17.5,39,39,43,71.3,92,53.7,89,,,,,,,,,,,,,,,,,,113,31.4
Barstow Community College,Barstow,California,2-year,Public,Associates--Public Suburban-serving Single Campus,3211,13.2,12.8,65575,44144,89,36.5,2120,,,3225,22,179,18,6.7,34,17.2,37,49.4,69,53.7,32,25.7,28,,,,,,,,,,,,,,,,,,113,20.8
Bethesda Christian University,Anaheim,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,259,25.1,22.4,16556,125902,2,78.8,217,,,4692,7,,,65.2,82,78.3,86,75,93,92.9,91,12,3,,,,,,,,,,,,,,,,,,74,56.8
Biola University,La Mirada,California,4-year,Private not-for-profit,Doctoral/Research Universities,4331,20.6,22.4,80607,125902,52,96.6,4274,1123,71,23604,88,17473,50,48.8,60,68.2,75,31,35,85,77,54.7,52,,,,,,,,,,,,,,,,,,74,75.6
Brooks Institute,Santa Barbara,California,4-year,Private for-profit,Schools of art- music- and design,492,20.9,23.2,96406,53245,89,78.3,745,,,5507,84,,,35.3,78,36.5,73,42.8,7,77.3,81,40.5,85,,,,,,,,,,,,,,,,,,64,46.8
Bryan College at Los Angeles,Los Angeles,California,4-year,Private for-profit,Associates--Private For-profit,879,9.1,23.2,90616,53245,87,100,1585,,,5700,86,,,,,,,58.9,27,,,41.7,86,,,,,,,,,,,,,,,,,,64,87.5
Butte College,Oroville,California,2-year,Public,Associates--Public Rural-serving Large,12163,17.4,12.8,26760,44144,20,47.8,8649,,,3653,36,244,24,10.7,56,28.6,77,49.3,69,70.4,91,26.4,30,,,,,,,,,,,,,,,,,,113,35.1
Cabrillo College,Aptos,California,2-year,Public,Associates--Public Rural-serving Large,13666,15.8,12.8,48829,44144,71,33.8,7729,,,2696,10,2168,79,6.8,34,27.4,74,24.8,11,74,96,37,62,,,,,,,,,,,,,,,,,,113,30.7
California Baptist University,Riverside,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,5797,18.7,22.4,79053,125902,51,87.7,5056,984,24,12018,39,2304,8,40.9,47,58.1,56,47.8,72,76.8,55,46.3,41,,,,,,,,,,,,,,,,,,74,58.8
California College of the Arts,San Francisco,California,4-year,Private not-for-profit,Schools of art- music- and design,1502,18.8,22.4,110420,125902,74,93.9,1434,,,17703,71,16075,47,31.2,31,61.8,63,32.4,39,81.9,70,15.6,5,,,,,,,,,,,,,,,,,,74,99.5
California Institute of Technology,Pasadena,California,4-year,Private not-for-profit,Research Universities--very high research activity,977,24.8,22.4,598908,125902,100,100,978,1534,100,29314,94,872856,99,82.3,94,93.1,98,10.6,1,96.6,97,97.6,94,,,,,,,,,,,,,,,,,,74,96.7
California Lutheran University,Thousand Oaks,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2888,25.2,22.4,55699,125902,28,94.1,2812,1108,67,14864,56,14701,44,61.3,78,70,77,25.8,25,84.8,76,40.8,33,,,,,,,,,,,,,,,,,,74,99.3
California Polytechnic State University at San Luis Obispo,San Luis Obispo,California,4-year,Public,Masters Colleges and Universities--larger programs,18739,20.7,25,80134,79310,79,96.4,16661,1242,95,7499,77,10629,79,29,67,69.7,89,19.8,5,92.5,96,68.5,61,2010,27,1.4,50.9,10.7,74.6,5,2.1,5.9,78.7,2.1,4.6,2.4,85.7,3.4,0.4,1,32,83
Alliant International University-San Diego,San Diego,California,4-year,Private not-for-profit,Doctoral/Research Universities,917,33.5,22.4,60123,125902,31,19.5,227,,,6587,15,414,1,,,,,32.3,39,75,49,79.4,82,,,,,,,,,,,,,,,,,,74,
California State University at Bakersfield,Bakersfield,California,4-year,Public,Masters Colleges and Universities--larger programs,7350,21.7,25,52362,79310,36,88.7,6915,901,9,11089,95,2668,35,15,29,39.5,32,58.4,92,74.4,52,65.1,55,2010,17.6,1.4,43.3,20.5,43.3,5.2,12.7,15.1,63.8,4.3,7.6,9.8,68.4,7.2,3.2,5.2,32,52.9
California State University-Stanislaus,Turlock,California,4-year,Public,Masters Colleges and Universities--larger programs,7754,24.6,25,54098,79310,42,84.4,6243,917,11,9087,90,1455,18,18.2,39,52,63,57.7,91,87.2,88,56.3,38,2010,23.1,3.4,40.9,17,30.9,10.6,18.1,11.6,70.9,3.1,7,4.7,72.2,4.4,2.9,3.6,32,45.8
California State University at San Bernardino,San Bernardino,California,4-year,Public,Masters Colleges and Universities--larger programs,16191,22,25,50514,79310,32,88.3,14586,888,6,9354,92,1353,16,9.4,13,41.1,36,58,91,88.8,91,50.5,29,2011,1.2,0.7,69.3,14.5,37.1,4,23.4,13.4,61.5,4.2,20.4,4.9,73.7,6.9,3.1,4.9,32,47.2
California State Polytechnic University at Pomona,Pomona,California,4-year,Public,Masters Colleges and Universities--larger programs,20952,23.9,25,50007,79310,31,87.9,17439,1070,65,8932,89,3819,47,10,15,52.4,64,44,69,90,92,48.8,26,2010,19.2,1.5,54.9,15.1,56.4,6.4,12.8,10.5,70.4,5.6,11.4,5,78.3,7.7,2,2.8,32,68
California State University at Chico,Chico,California,4-year,Public,Masters Colleges and Universities--larger programs,15290,25.2,25,47231,79310,24,92.9,14249,1014,46,9124,91,2401,32,16.9,35,56.1,71,38.9,52,86.6,86,52.8,33,2010,20.2,2.7,53.6,16.1,63.1,7.8,6,9.2,65.1,3.3,11,6.4,71.9,5.1,2.2,4.1,32,61.5
California State University-Dominguez Hills,Carson,California,4-year,Public,Masters Colleges and Universities--larger programs,12481,26,25,38497,79310,13,68.7,8683,845,2,8895,88,1234,14,3.8,2,29.4,14,58.6,92,79.3,68,38.8,14,2011,6,2.2,45.9,25,19.9,5.8,19,19.6,57.2,4.5,14.7,7.9,61.9,5.8,3.8,6.3,32,40.7
California State University at Fresno,Fresno,California,4-year,Public,Masters Colleges and Universities--larger programs,20295,21.1,25,50402,79310,32,86.6,17363,920,12,9343,91,7161,68,13.7,25,48.6,55,54.1,87,83.2,79,51.8,31,2010,16.9,1.6,52.4,15.4,50.9,4.7,12.1,11.9,68.1,2.8,10.3,5.3,75.2,4,1.5,4.2,32,57.4
California State University at Fullerton,Fullerton,California,4-year,Public,Masters Colleges and Universities--larger programs,33116,26.9,25,40380,79310,14,80.6,26806,1021,48,8616,87,1476,18,13.6,24,53.5,66,40.6,58,88.5,91,46.2,20,2011,14,2.4,54,19.2,50.5,6.3,10.9,14.2,71.6,2.7,9.8,4.6,77,4.1,1.9,3.7,32,49.4
California State University-East Bay,Hayward,California,4-year,Public,Masters Colleges and Universities--larger programs,12146,25.8,25,47531,79310,26,86.8,11053,910,10,9038,90,825,9,10.8,17,38.1,30,44.3,70,77.5,62,41.6,16,,,,,,,,,,,,,,,,,,32,35.3
California State University at Long Beach,Long Beach,California,4-year,Public,Masters Colleges and Universities--larger programs,30593,26.1,25,41585,79310,16,84.4,25679,1012,45,8779,88,1788,22,14.1,26,60.3,77,47.3,77,88.8,91,50.3,29,2010,12.7,1.6,62.4,14.7,54.3,6,15,11.1,73.4,2.5,10.2,4.4,80.3,3.7,2.7,2.8,32,53.9
California State University at Los Angeles,Los Angeles,California,4-year,Public,Masters Colleges and Universities--larger programs,19589,22.9,25,44071,79310,20,83.1,15805,871,5,9061,90,989,11,6.7,6,35.7,25,64.5,95,82.1,75,50,28,2010,8.1,3.1,58.7,18.8,38.4,8.3,20.3,18.8,48.8,8.7,16.3,25.3,55.7,13.3,2.5,21.3,32,40.6
California State University at Northridge,Northridge,California,4-year,Public,Masters Colleges and Universities--larger programs,33771,27.2,25,42587,79310,18,83.5,25175,918,12,9439,92,2387,31,13.2,22,45.8,49,48.5,80,78.2,65,46,20,2010,14.2,1.3,55,15.4,36.8,4,14.5,15.7,74.9,1.9,7.2,5.4,78.1,3.3,1.3,3.3,32,48.4
California State University at Sacramento,Sacramento,California,4-year,Public,Masters Colleges and Universities--larger programs,26094,25.3,25,43410,79310,18,80.8,20490,945,18,8939,89,1303,15,8.2,10,42.9,41,50.5,84,82.5,77,48.9,26,2010,9.1,2.7,57.9,19.5,40.7,8.6,14.1,16.4,60.9,4.8,14.6,6.1,67.6,7.1,2.2,5.1,32,38.9
University of California at Berkeley,Berkeley,California,4-year,Public,Research Universities--very high research activity,25951,27.6,25,110187,79310,93,97.2,27568,1350,99,15764,99,36917,96,72.2,99,91,100,32.4,31,96.4,99,74.7,75,,,,,,,,,,,,,,,,,,32,67
University of California at Davis,Davis,California,4-year,Public,Research Universities--very high research activity,26533,26.6,25,129507,79310,95,97.3,25844,1192,90,15201,98,7855,71,51.3,91,81.3,96,43,66,92.9,96,81.5,87,,,,,,,,,,,,,,,,,,32,70.7
University of California at Irvine,Irvine,California,4-year,Public,Research Universities--very high research activity,23530,26.5,25,107625,79310,91,98.3,23595,1122,80,16066,99,8945,75,67.6,98,85.8,98,43.2,67,91.8,95,77.4,79,,,,,,,,,,,,,,,,,,32,76.9
University of California at Los Angeles,Los Angeles,California,4-year,Public,Research Universities--very high research activity,28674,26.8,25,208579,79310,99,97.9,28634,1289,98,16288,100,34375,95,69,99,90.3,99,36.2,43,96.3,99,77.2,79,,,,,,,,,,,,,,,,,,32,57.7
